,open,close,high,low,volume
2020-01-02 10:30:00,6.71,6.78,6.78,6.66,10469326.0
2020-01-02 11:30:00,6.78,6.72,6.78,6.72,3923063.0
2020-01-02 14:00:00,6.73,6.71,6.75,6.7,3130446.0
2020-01-02 15:00:00,6.72,6.71,6.73,6.7,4910085.0
2020-01-03 10:30:00,6.73,6.94,6.96,6.72,17945234.0
2020-01-03 11:30:00,6.94,6.96,7.0,6.9,8389210.0
2020-01-03 14:00:00,6.96,6.96,6.96,6.93,4447357.0
2020-01-03 15:00:00,6.95,6.96,6.98,6.94,6718616.0
2020-01-06 10:30:00,6.95,7.07,7.08,6.95,12508916.0
2020-01-06 11:30:00,7.06,7.0,7.07,6.98,8044612.0
2020-01-06 14:00:00,7.0,6.98,7.03,6.96,5827776.0
2020-01-06 15:00:00,6.98,6.93,6.98,6.9,9427072.0
2020-01-07 10:30:00,6.93,6.93,7.0,6.92,7027884.0
2020-01-07 11:30:00,6.93,6.9,6.94,6.88,4652175.0
2020-01-07 14:00:00,6.91,6.9,6.92,6.9,5990525.0
2020-01-07 15:00:00,6.9,6.93,6.93,6.9,7586069.0
2020-01-08 10:30:00,6.93,6.78,6.93,6.77,13164509.0
2020-01-08 11:30:00,6.78,6.8,6.83,6.78,7540843.0
2020-01-08 14:00:00,6.81,6.68,6.81,6.68,9323744.0
2020-01-08 15:00:00,6.67,6.63,6.71,6.6,21065469.0
2020-01-09 10:30:00,6.72,6.69,6.74,6.68,10337208.0
2020-01-09 11:30:00,6.7,6.64,6.7,6.61,8841311.0
2020-01-09 14:00:00,6.64,6.65,6.67,6.62,4351175.0
2020-01-09 15:00:00,6.65,6.67,6.67,6.61,8508052.0
2020-01-10 10:30:00,6.68,6.62,6.7,6.59,8846521.0
2020-01-10 11:30:00,6.62,6.64,6.65,6.61,3456864.0
2020-01-10 14:00:00,6.64,6.63,6.65,6.61,4234168.0
2020-01-10 15:00:00,6.62,6.64,6.67,6.62,5909459.0
2020-01-13 10:30:00,6.62,6.58,6.64,6.54,6891982.0
2020-01-13 11:30:00,6.57,6.62,6.62,6.56,4035581.0
2020-01-13 14:00:00,6.62,6.62,6.63,6.6,3799525.0
2020-01-13 15:00:00,6.62,6.71,6.72,6.6,11439501.0
2020-01-14 10:30:00,6.71,6.73,6.77,6.71,9260649.0
2020-01-14 11:30:00,6.73,6.68,6.73,6.68,4474309.0
2020-01-14 14:00:00,6.69,6.71,6.72,6.68,2781768.0
2020-01-14 15:00:00,6.72,6.68,6.72,6.68,3929186.0
2020-01-15 10:30:00,6.68,6.63,6.69,6.6,8785258.0
2020-01-15 11:30:00,6.62,6.62,6.64,6.61,2932876.0
2020-01-15 14:00:00,6.63,6.63,6.63,6.6,1784230.0
2020-01-15 15:00:00,6.62,6.63,6.65,6.62,3601134.0
2020-01-16 10:30:00,6.64,6.59,6.64,6.57,4957969.0
2020-01-16 11:30:00,6.59,6.6,6.6,6.57,2629843.0
2020-01-16 14:00:00,6.59,6.57,6.6,6.55,7400555.0
2020-01-16 15:00:00,6.57,6.51,6.57,6.49,10148014.0
2020-01-17 10:30:00,6.51,6.53,6.59,6.5,8302217.0
2020-01-17 11:30:00,6.53,6.5,6.54,6.49,3190990.0
2020-01-17 14:00:00,6.5,6.46,6.5,6.44,6437526.0
2020-01-17 15:00:00,6.45,6.43,6.47,6.42,5695959.0
2020-01-20 10:30:00,6.42,6.47,6.47,6.38,5602231.0
2020-01-20 11:30:00,6.47,6.47,6.47,6.43,2740315.0
2020-01-20 14:00:00,6.47,6.49,6.51,6.46,3047844.0
2020-01-20 15:00:00,6.49,6.52,6.53,6.48,3426744.0
2020-01-21 10:30:00,6.49,6.46,6.49,6.43,5098766.0
2020-01-21 11:30:00,6.46,6.5,6.5,6.44,2929000.0
2020-01-21 14:00:00,6.51,6.43,6.51,6.42,4335353.0
2020-01-21 15:00:00,6.43,6.42,6.46,6.41,5221692.0
2020-01-22 10:30:00,6.39,6.27,6.4,6.26,12922533.0
2020-01-22 11:30:00,6.27,6.31,6.33,6.26,6818774.0
2020-01-22 14:00:00,6.32,6.39,6.39,6.32,2769924.0
2020-01-22 15:00:00,6.38,6.38,6.4,6.37,3365686.0
2020-01-23 10:30:00,6.28,6.3,6.35,6.24,5790610.0
2020-01-23 11:30:00,6.29,6.17,6.29,6.16,12753045.0
2020-01-23 14:00:00,6.17,6.11,6.18,6.08,8006226.0
2020-01-23 15:00:00,6.1,6.07,6.12,5.89,17019063.0
2020-02-03 10:30:00,5.47,5.47,5.5,5.47,21755676.0
2020-02-03 11:30:00,5.47,5.47,5.47,5.47,490597.0
2020-02-03 14:00:00,5.47,5.47,5.47,5.47,999372.0
2020-02-03 15:00:00,5.47,5.47,5.47,5.47,301100.0
2020-02-04 10:30:00,5.22,5.49,5.64,5.22,14815194.0
2020-02-04 11:30:00,5.5,5.41,5.5,5.35,6539119.0
2020-02-04 14:00:00,5.42,5.47,5.51,5.4,6455803.0
2020-02-04 15:00:00,5.47,5.45,5.49,5.43,5608663.0
2020-02-05 10:30:00,5.47,5.58,5.61,5.45,11740295.0
2020-02-05 11:30:00,5.58,5.55,5.6,5.52,6380862.0
2020-02-05 14:00:00,5.55,5.51,5.57,5.5,4648497.0
2020-02-05 15:00:00,5.51,5.66,5.73,5.49,16352849.0
2020-02-06 10:30:00,5.7,5.76,5.8,5.6,19322891.0
2020-02-06 11:30:00,5.76,5.82,5.84,5.73,7133454.0
2020-02-06 14:00:00,5.85,5.87,5.93,5.85,10556117.0
2020-02-06 15:00:00,5.87,5.86,5.9,5.82,8304362.0
2020-02-07 10:30:00,5.88,5.94,6.14,5.84,24898680.0
2020-02-07 11:30:00,5.94,5.89,5.95,5.8,8654363.0
2020-02-07 14:00:00,5.89,5.95,6.0,5.87,5276120.0
2020-02-07 15:00:00,5.95,6.0,6.02,5.93,7702266.0
2020-02-10 10:30:00,6.25,6.11,6.31,6.09,25989743.0
2020-02-10 11:30:00,6.12,6.02,6.12,6.02,7906159.0
2020-02-10 14:00:00,6.01,6.14,6.15,6.01,5867594.0
2020-02-10 15:00:00,6.15,6.08,6.16,6.06,7210338.0
2020-02-11 10:30:00,6.08,5.98,6.11,5.97,14534420.0
2020-02-11 11:30:00,5.98,5.96,6.0,5.93,8375622.0
2020-02-11 14:00:00,5.96,5.95,5.97,5.94,4158918.0
2020-02-11 15:00:00,5.95,5.95,5.97,5.93,5748950.0
2020-02-12 10:30:00,5.94,5.93,5.98,5.91,7017468.0
2020-02-12 11:30:00,5.94,5.89,5.94,5.86,6553414.0
2020-02-12 14:00:00,5.89,5.93,5.95,5.88,4086326.0
2020-02-12 15:00:00,5.93,5.95,5.95,5.92,5610502.0
2020-02-13 10:30:00,5.95,5.89,5.95,5.86,8209403.0
2020-02-13 11:30:00,5.89,5.88,5.92,5.87,3242757.0
2020-02-13 14:00:00,5.87,5.83,5.87,5.83,5193926.0
2020-02-13 15:00:00,5.83,5.83,5.87,5.82,4611536.0
2020-02-14 10:30:00,5.81,5.76,5.84,5.74,8995383.0
2020-02-14 11:30:00,5.75,5.78,5.81,5.75,3386003.0
2020-02-14 14:00:00,5.79,5.77,5.79,5.75,4103169.0
2020-02-14 15:00:00,5.77,5.79,5.81,5.75,4976246.0
2020-02-17 10:30:00,5.85,6.03,6.08,5.85,18711403.0
2020-02-17 11:30:00,6.03,6.09,6.1,6.02,8039403.0
