,open,close,high,low,volume
2020-01-02 10:30:00,4.78,4.84,4.84,4.76,2980222.0
2020-01-02 11:30:00,4.84,4.88,4.91,4.83,3092772.0
2020-01-02 14:00:00,4.88,4.89,4.9,4.87,1340660.0
2020-01-02 15:00:00,4.89,4.9,4.9,4.86,2073126.0
2020-01-03 10:30:00,4.9,5.0,5.06,4.89,6138278.0
2020-01-03 11:30:00,5.01,4.92,5.02,4.91,1828506.0
2020-01-03 14:00:00,4.91,4.92,4.93,4.9,1572567.0
2020-01-03 15:00:00,4.92,4.92,4.94,4.91,1965886.0
2020-01-06 10:30:00,4.85,4.95,5.0,4.8,4594444.0
2020-01-06 11:30:00,4.95,4.99,5.01,4.93,2717677.0
2020-01-06 14:00:00,5.0,4.99,5.02,4.96,2834331.0
2020-01-06 15:00:00,4.98,4.97,4.99,4.89,2759732.0
2020-01-07 10:30:00,4.98,4.99,5.09,4.95,4989568.0
2020-01-07 11:30:00,4.98,4.99,5.01,4.95,1809580.0
2020-01-07 14:00:00,5.0,4.97,5.0,4.95,2216316.0
2020-01-07 15:00:00,4.97,5.01,5.01,4.96,3191201.0
2020-01-08 10:30:00,4.95,5.03,5.21,4.94,8538234.0
2020-01-08 11:30:00,5.03,5.13,5.16,5.02,3616055.0
2020-01-08 14:00:00,5.12,5.04,5.15,5.02,3749534.0
2020-01-08 15:00:00,5.04,5.05,5.07,5.02,3018576.0
2020-01-09 10:30:00,5.07,5.05,5.11,5.02,5757372.0
2020-01-09 11:30:00,5.05,5.0,5.05,4.98,2796377.0
2020-01-09 14:00:00,4.98,5.01,5.02,4.98,2125797.0
2020-01-09 15:00:00,5.0,5.0,5.02,4.97,3144136.0
2020-01-10 10:30:00,5.0,4.99,5.05,4.98,3257584.0
2020-01-10 11:30:00,4.98,4.93,4.99,4.92,2413678.0
2020-01-10 14:00:00,4.93,4.94,4.96,4.91,1312529.0
2020-01-10 15:00:00,4.95,4.95,4.98,4.94,1505279.0
2020-01-13 10:30:00,4.92,4.92,4.97,4.83,2960897.0
2020-01-13 11:30:00,4.93,4.95,4.97,4.92,1861548.0
2020-01-13 14:00:00,4.96,4.98,5.0,4.95,1962687.0
2020-01-13 15:00:00,4.97,5.0,5.0,4.94,2267187.0
2020-01-14 10:30:00,5.02,4.96,5.02,4.95,2717672.0
2020-01-14 11:30:00,4.96,4.93,4.98,4.92,1740890.0
2020-01-14 14:00:00,4.92,4.91,4.94,4.91,1691524.0
2020-01-14 15:00:00,4.91,4.87,4.93,4.87,2562473.0
2020-01-15 10:30:00,4.89,4.82,4.89,4.81,2059111.0
2020-01-15 11:30:00,4.82,4.83,4.84,4.8,1178453.0
2020-01-15 14:00:00,4.83,4.85,4.86,4.82,688103.0
2020-01-15 15:00:00,4.85,4.89,4.93,4.84,2542651.0
2020-01-16 10:30:00,4.91,4.9,4.93,4.87,1497070.0
2020-01-16 11:30:00,4.9,4.86,4.9,4.84,1159927.0
2020-01-16 14:00:00,4.86,4.85,4.87,4.83,1014637.0
2020-01-16 15:00:00,4.84,4.81,4.85,4.81,1634751.0
2020-01-17 10:30:00,4.81,4.79,4.83,4.75,2371920.0
2020-01-17 11:30:00,4.79,4.75,4.81,4.74,1304716.0
2020-01-17 14:00:00,4.75,4.73,4.76,4.72,1165530.0
2020-01-17 15:00:00,4.73,4.72,4.78,4.7,1984106.0
2020-01-20 10:30:00,4.75,4.73,4.75,4.62,2988134.0
2020-01-20 11:30:00,4.73,4.76,4.76,4.71,989403.0
2020-01-20 14:00:00,4.75,4.8,4.82,4.75,1535222.0
2020-01-20 15:00:00,4.8,4.83,4.86,4.79,2217917.0
2020-01-21 10:30:00,4.81,4.78,4.86,4.77,1709250.0
2020-01-21 11:30:00,4.79,4.83,4.84,4.77,678690.0
2020-01-21 14:00:00,4.82,4.79,4.83,4.77,1141802.0
2020-01-21 15:00:00,4.78,4.76,4.8,4.75,1115270.0
2020-01-22 10:30:00,4.74,4.68,4.74,4.64,2451023.0
2020-01-22 11:30:00,4.68,4.75,4.76,4.67,1074615.0
2020-01-22 14:00:00,4.75,4.79,4.8,4.75,1209988.0
2020-01-22 15:00:00,4.79,4.84,4.85,4.78,2348790.0
2020-01-23 10:30:00,4.78,4.79,4.81,4.69,1988114.0
2020-01-23 11:30:00,4.79,4.7,4.79,4.67,1885181.0
2020-01-23 14:00:00,4.7,4.56,4.7,4.52,2686235.0
2020-01-23 15:00:00,4.56,4.53,4.61,4.46,2755927.0
2020-02-03 10:30:00,4.08,4.08,4.08,4.08,1532915.0
2020-02-03 11:30:00,4.08,4.08,4.08,4.08,89817.0
2020-02-03 14:00:00,4.08,4.08,4.08,4.08,24232.0
2020-02-03 15:00:00,4.08,4.08,4.08,4.08,45761.0
2020-02-04 10:30:00,3.69,3.89,3.91,3.69,6918303.0
2020-02-04 11:30:00,3.89,3.82,3.91,3.8,2523822.0
2020-02-04 14:00:00,3.82,3.88,3.9,3.81,2993337.0
2020-02-04 15:00:00,3.88,3.88,3.9,3.87,1865653.0
2020-02-05 10:30:00,3.92,4.06,4.07,3.89,4544478.0
2020-02-05 11:30:00,4.07,4.07,4.12,4.04,2069424.0
2020-02-05 14:00:00,4.08,4.04,4.11,4.02,2481065.0
2020-02-05 15:00:00,4.04,4.05,4.07,4.02,2048096.0
2020-02-06 10:30:00,4.08,4.07,4.11,4.05,2683530.0
2020-02-06 11:30:00,4.07,4.1,4.1,4.06,1615125.0
2020-02-06 14:00:00,4.09,4.1,4.11,4.06,1879072.0
2020-02-06 15:00:00,4.1,4.07,4.11,4.04,2051302.0
2020-02-07 10:30:00,4.07,4.06,4.1,4.03,3698367.0
2020-02-07 11:30:00,4.06,4.02,4.1,4.0,1699234.0
2020-02-07 14:00:00,4.01,4.03,4.04,3.99,1427683.0
2020-02-07 15:00:00,4.03,4.08,4.08,4.01,2477758.0
2020-02-10 10:30:00,4.03,4.1,4.11,4.03,3919454.0
2020-02-10 11:30:00,4.1,4.06,4.1,4.06,1851438.0
2020-02-10 14:00:00,4.06,4.08,4.09,4.04,1236327.0
2020-02-10 15:00:00,4.08,4.13,4.16,4.07,3161461.0
2020-02-11 10:30:00,4.14,4.11,4.17,4.07,3044205.0
2020-02-11 11:30:00,4.11,4.11,4.12,4.08,1152518.0
2020-02-11 14:00:00,4.11,4.12,4.13,4.09,1294305.0
2020-02-11 15:00:00,4.12,4.11,4.16,4.11,1986614.0
2020-02-12 10:30:00,4.13,4.24,4.45,4.11,9937976.0
2020-02-12 11:30:00,4.24,4.24,4.25,4.19,1935643.0
2020-02-12 14:00:00,4.24,4.32,4.34,4.23,2011645.0
2020-02-12 15:00:00,4.32,4.31,4.33,4.28,3422703.0
2020-02-13 10:30:00,4.35,4.38,4.45,4.15,9928262.0
2020-02-13 11:30:00,4.39,4.41,4.51,4.39,5290258.0
2020-02-13 14:00:00,4.4,4.52,4.56,4.38,4674450.0
2020-02-13 15:00:00,4.52,4.52,4.66,4.49,6317215.0
2020-02-14 10:30:00,4.43,4.7,4.74,4.43,10502417.0
2020-02-14 11:30:00,4.7,4.66,4.87,4.65,9184183.0
2020-02-14 14:00:00,4.68,4.86,4.97,4.65,17376164.0
2020-02-14 15:00:00,4.86,4.97,4.97,4.8,8254160.0
2020-02-17 10:30:00,5.47,5.47,5.47,5.28,28259780.0
2020-02-17 11:30:00,5.47,5.47,5.47,5.47,1219504.0
2020-02-17 14:00:00,5.47,5.47,5.47,5.47,453601.0
2020-02-17 15:00:00,5.47,5.47,5.47,5.47,448990.0
2020-02-18 10:30:00,5.94,6.02,6.02,5.89,27191777.0
2020-02-18 11:30:00,6.02,6.02,6.02,6.02,1387623.0
2020-02-18 14:00:00,6.02,6.02,6.02,6.02,207974.0
2020-02-18 15:00:00,6.02,6.02,6.02,6.02,296389.0
2020-02-19 10:30:00,6.62,6.62,6.62,6.5,30397193.0
2020-02-19 11:30:00,6.62,6.62,6.62,6.62,661272.0
2020-02-19 14:00:00,6.62,6.62,6.62,6.62,236716.0
2020-02-19 15:00:00,6.62,6.62,6.62,6.29,40694743.0
2020-02-20 10:30:00,6.99,7.28,7.28,6.99,61625079.0
2020-02-20 11:30:00,7.28,7.28,7.28,7.28,854624.0
2020-02-20 14:00:00,7.28,7.28,7.28,7.28,1120273.0
2020-02-20 15:00:00,7.28,7.28,7.28,7.28,618012.0
2020-02-21 10:30:00,8.01,8.01,8.01,8.01,5904769.0
2020-02-21 11:30:00,8.01,8.01,8.01,8.01,190150.0
2020-02-21 14:00:00,8.01,8.01,8.01,8.01,227199.0
2020-02-21 15:00:00,8.01,8.01,8.01,8.01,637738.0
2020-02-24 10:30:00,7.5,7.82,8.29,7.23,110298627.0
2020-02-24 11:30:00,7.82,7.74,7.94,7.71,9611444.0
2020-02-24 14:00:00,7.73,8.03,8.27,7.73,24897261.0
2020-02-24 15:00:00,8.03,8.19,8.19,7.6,34609539.0
2020-02-25 10:30:00,8.19,8.2,8.72,7.75,96603302.0
2020-02-25 11:30:00,8.2,8.41,8.42,7.82,24070969.0
2020-02-25 14:00:00,8.42,8.69,8.85,8.34,29513132.0
2020-02-25 15:00:00,8.7,8.43,9.01,8.43,36111413.0
2020-02-26 10:30:00,7.59,7.59,7.59,7.59,11875823.0
2020-02-26 11:30:00,7.59,7.59,7.59,7.59,307910.0
2020-02-26 14:00:00,7.59,7.59,7.59,7.59,661867.0
2020-02-26 15:00:00,7.59,7.59,7.59,7.59,262944.0
2020-02-27 10:30:00,6.83,6.83,7.08,6.83,48507722.0
2020-02-27 11:30:00,6.83,7.07,7.23,6.83,30641713.0
2020-02-27 14:00:00,7.09,6.83,7.31,6.83,34570090.0
2020-02-27 15:00:00,6.83,6.83,6.85,6.83,5238097.0
2020-02-28 10:30:00,6.15,6.15,6.29,6.15,53449927.0
2020-02-28 11:30:00,6.15,6.15,6.15,6.15,1585688.0
2020-02-28 14:00:00,6.15,6.41,6.42,6.15,19919609.0
2020-02-28 15:00:00,6.42,6.15,6.48,6.15,29515032.0
2020-03-02 10:30:00,6.23,6.16,6.28,5.98,37740455.0
2020-03-02 11:30:00,6.16,6.35,6.43,6.12,23863397.0
2020-03-02 14:00:00,6.36,6.29,6.44,6.24,12576750.0
2020-03-02 15:00:00,6.29,6.29,6.36,6.16,17750154.0
2020-03-03 10:30:00,6.29,6.6,6.64,6.25,46158032.0
2020-03-03 11:30:00,6.59,6.89,6.89,6.51,26727166.0
2020-03-03 14:00:00,6.92,6.52,6.92,6.52,35271708.0
2020-03-03 15:00:00,6.52,6.59,6.75,6.49,14535625.0
2020-03-04 10:30:00,6.36,6.56,6.72,6.33,41324374.0
2020-03-04 11:30:00,6.55,6.53,6.64,6.5,10650014.0
2020-03-04 14:00:00,6.54,6.4,6.54,6.3,13018530.0
2020-03-04 15:00:00,6.4,6.63,6.72,6.32,21644583.0
2020-03-05 10:30:00,6.68,6.93,7.0,6.5,48355620.0
2020-03-05 11:30:00,6.91,6.62,6.95,6.54,18509054.0
2020-03-05 14:00:00,6.62,6.72,6.88,6.59,14755713.0
2020-03-05 15:00:00,6.72,6.92,7.12,6.71,35776976.0
2020-03-06 10:30:00,6.59,6.82,6.9,6.5,36925480.0
2020-03-06 11:30:00,6.82,6.69,6.84,6.61,10987357.0
2020-03-06 14:00:00,6.75,6.75,6.86,6.68,11515649.0
2020-03-06 15:00:00,6.75,6.47,6.84,6.47,24073975.0
2020-03-09 10:30:00,6.09,5.96,6.17,5.82,43938012.0
2020-03-09 11:30:00,5.96,5.84,5.99,5.82,10814830.0
2020-03-09 14:00:00,5.85,5.82,5.86,5.82,12997300.0
2020-03-09 15:00:00,5.82,5.82,5.83,5.82,3473469.0
2020-03-10 10:30:00,5.69,5.88,5.95,5.62,29655520.0
2020-03-10 11:30:00,5.88,6.0,6.01,5.81,10134334.0
2020-03-10 14:00:00,6.03,5.99,6.12,5.97,12375182.0
