,open,close,high,low,volume
2020-01-02 10:30:00,6.71,6.75,6.79,6.66,3588011.0
2020-01-02 11:30:00,6.75,6.74,6.77,6.73,1748548.0
2020-01-02 14:00:00,6.74,6.73,6.76,6.69,1538836.0
2020-01-02 15:00:00,6.74,6.72,6.75,6.71,1868234.0
2020-01-03 10:30:00,6.73,6.74,6.75,6.69,2306798.0
2020-01-03 11:30:00,6.74,6.75,6.81,6.71,2106311.0
2020-01-03 14:00:00,6.75,6.79,6.8,6.73,1479093.0
2020-01-03 15:00:00,6.8,6.78,6.82,6.77,2335063.0
2020-01-06 10:30:00,6.78,6.89,6.9,6.76,4253025.0
2020-01-06 11:30:00,6.88,6.96,6.99,6.87,4067071.0
2020-01-06 14:00:00,6.96,6.98,7.02,6.94,3329984.0
2020-01-06 15:00:00,6.98,6.96,7.01,6.91,4109478.0
2020-01-07 10:30:00,6.97,6.99,7.03,6.91,3423711.0
2020-01-07 11:30:00,6.99,6.95,6.99,6.92,1827637.0
2020-01-07 14:00:00,6.95,6.97,6.98,6.92,1687999.0
2020-01-07 15:00:00,6.96,6.97,6.99,6.95,2287857.0
2020-01-08 10:30:00,6.98,7.1,7.11,6.95,5761985.0
2020-01-08 11:30:00,7.08,7.21,7.23,7.07,5446921.0
2020-01-08 14:00:00,7.2,7.03,7.2,7.03,4224854.0
2020-01-08 15:00:00,7.03,7.01,7.07,6.98,3681132.0
2020-01-09 10:30:00,7.07,7.05,7.13,7.03,4917431.0
2020-01-09 11:30:00,7.05,6.99,7.06,6.95,2533046.0
2020-01-09 14:00:00,6.99,7.03,7.04,6.98,2255178.0
2020-01-09 15:00:00,7.03,7.07,7.07,7.0,2353312.0
2020-01-10 10:30:00,7.07,7.0,7.08,6.98,2820449.0
2020-01-10 11:30:00,7.01,6.92,7.01,6.88,3853958.0
2020-01-10 14:00:00,6.92,6.93,6.96,6.88,2385089.0
2020-01-10 15:00:00,6.93,6.95,7.0,6.92,1837563.0
2020-01-13 10:30:00,6.94,6.95,7.04,6.91,2551396.0
2020-01-13 11:30:00,6.95,6.98,7.0,6.93,1190089.0
2020-01-13 14:00:00,6.98,6.97,7.0,6.95,1361403.0
2020-01-13 15:00:00,6.97,7.02,7.03,6.95,2091373.0
2020-01-14 10:30:00,7.02,7.14,7.18,7.02,5168244.0
2020-01-14 11:30:00,7.14,7.12,7.2,7.11,3859971.0
2020-01-14 14:00:00,7.11,7.09,7.16,7.09,1524901.0
2020-01-14 15:00:00,7.09,7.05,7.1,7.05,2180491.0
2020-01-15 10:30:00,7.21,7.04,7.23,7.03,7208801.0
2020-01-15 11:30:00,7.04,7.04,7.1,7.04,1147185.0
2020-01-15 14:00:00,7.05,7.0,7.05,6.98,1726493.0
2020-01-15 15:00:00,7.0,7.03,7.05,7.0,1724688.0
2020-01-16 10:30:00,7.01,7.22,7.28,6.95,10038065.0
2020-01-16 11:30:00,7.22,7.51,7.61,7.21,14760627.0
2020-01-16 14:00:00,7.5,7.45,7.53,7.41,4911019.0
2020-01-16 15:00:00,7.45,7.41,7.46,7.34,4702615.0
2020-01-17 10:30:00,7.41,7.34,7.52,7.34,11060948.0
2020-01-17 11:30:00,7.35,7.32,7.39,7.31,2797989.0
2020-01-17 14:00:00,7.31,7.32,7.38,7.26,3112055.0
