,open,close,high,low,volume
2020-01-02 10:30:00,6.81,6.84,6.87,6.79,2299138.0
2020-01-02 11:30:00,6.85,6.84,6.86,6.83,1462693.0
2020-01-02 14:00:00,6.84,6.86,6.89,6.83,1102011.0
2020-01-02 15:00:00,6.86,6.85,6.88,6.83,2007309.0
2020-01-03 10:30:00,6.87,6.84,6.88,6.81,1458637.0
2020-01-03 11:30:00,6.84,6.78,6.84,6.77,1740931.0
2020-01-03 14:00:00,6.79,6.79,6.8,6.75,819614.0
2020-01-03 15:00:00,6.8,6.77,6.81,6.77,992297.0
2020-01-06 10:30:00,6.68,6.79,6.79,6.68,1941906.0
2020-01-06 11:30:00,6.79,6.79,6.81,6.77,957217.0
2020-01-06 14:00:00,6.79,6.79,6.81,6.79,1011363.0
2020-01-06 15:00:00,6.79,6.79,6.8,6.73,1161234.0
2020-01-07 10:30:00,6.79,6.81,6.87,6.77,1433689.0
2020-01-07 11:30:00,6.81,6.8,6.81,6.79,800752.0
2020-01-07 14:00:00,6.8,6.82,6.83,6.78,1021702.0
2020-01-07 15:00:00,6.81,6.83,6.83,6.8,937337.0
2020-01-08 10:30:00,6.79,6.77,6.81,6.75,1469891.0
2020-01-08 11:30:00,6.78,6.79,6.81,6.76,837563.0
2020-01-08 14:00:00,6.79,6.87,6.98,6.79,4066533.0
2020-01-08 15:00:00,6.88,6.89,6.9,6.86,1619048.0
2020-01-09 10:30:00,6.86,6.91,7.09,6.85,4487034.0
2020-01-09 11:30:00,6.91,6.89,6.93,6.87,1551519.0
2020-01-09 14:00:00,6.89,6.9,6.93,6.88,1262020.0
2020-01-09 15:00:00,6.91,6.92,6.94,6.88,1756753.0
2020-01-10 10:30:00,6.94,6.85,6.95,6.85,2097048.0
2020-01-10 11:30:00,6.85,6.87,6.89,6.84,706858.0
2020-01-10 14:00:00,6.86,6.81,6.87,6.8,1260601.0
2020-01-10 15:00:00,6.82,6.8,6.84,6.79,1401951.0
2020-01-13 10:30:00,6.8,6.81,6.84,6.77,1217406.0
2020-01-13 11:30:00,6.81,6.83,6.85,6.8,426687.0
2020-01-13 14:00:00,6.82,6.82,6.84,6.8,352668.0
2020-01-13 15:00:00,6.82,6.86,6.87,6.81,969989.0
2020-01-14 10:30:00,6.95,6.9,6.95,6.88,1637200.0
2020-01-14 11:30:00,6.89,6.87,6.9,6.86,1255021.0
2020-01-14 14:00:00,6.86,6.84,6.87,6.83,651091.0
2020-01-14 15:00:00,6.85,6.83,6.86,6.83,753709.0
2020-01-15 10:30:00,6.86,6.86,6.89,6.81,1016431.0
2020-01-15 11:30:00,6.86,6.91,6.92,6.85,728961.0
2020-01-15 14:00:00,6.94,6.92,6.95,6.88,1863422.0
2020-01-15 15:00:00,6.92,6.91,6.94,6.89,1208889.0
2020-01-16 10:30:00,6.92,6.91,6.93,6.87,944336.0
