,open,close,high,low,volume
2020-01-02 10:30:00,4.68,4.7,4.75,4.64,4844884.0
2020-01-02 11:30:00,4.7,4.7,4.73,4.69,1539893.0
2020-01-02 14:00:00,4.71,4.7,4.71,4.68,1106031.0
2020-01-02 15:00:00,4.7,4.68,4.7,4.67,2184805.0
2020-01-03 10:30:00,4.67,4.72,4.74,4.65,2658713.0
2020-01-03 11:30:00,4.72,4.65,4.73,4.64,1385446.0
2020-01-03 14:00:00,4.65,4.71,4.72,4.64,1951201.0
2020-01-03 15:00:00,4.71,4.71,4.73,4.67,1529194.0
2020-01-06 10:30:00,4.72,4.74,4.75,4.67,4435569.0
2020-01-06 11:30:00,4.74,4.76,4.78,4.72,2469568.0
2020-01-06 14:00:00,4.76,4.76,4.78,4.73,1903712.0
2020-01-06 15:00:00,4.76,4.76,4.76,4.7,2776044.0
2020-01-07 10:30:00,4.79,4.76,4.85,4.76,4733434.0
2020-01-07 11:30:00,4.76,4.75,4.77,4.7,1726203.0
2020-01-07 14:00:00,4.74,4.75,4.76,4.73,1338689.0
2020-01-07 15:00:00,4.75,4.79,4.79,4.74,2040220.0
2020-01-08 10:30:00,4.76,4.83,4.89,4.64,6099067.0
2020-01-08 11:30:00,4.83,4.91,4.91,4.82,3351336.0
2020-01-08 14:00:00,4.91,4.81,4.92,4.8,2894940.0
2020-01-08 15:00:00,4.81,4.84,4.84,4.78,2682097.0
2020-01-09 10:30:00,4.85,4.85,4.87,4.8,4452757.0
2020-01-09 11:30:00,4.85,4.84,4.85,4.81,2055111.0
2020-01-09 14:00:00,4.85,4.92,4.96,4.84,5101341.0
2020-01-09 15:00:00,4.93,5.0,5.0,4.9,4053500.0
2020-01-10 10:30:00,5.01,5.19,5.23,4.94,16463954.0
2020-01-10 11:30:00,5.19,5.08,5.19,5.07,5122940.0
2020-01-10 14:00:00,5.08,5.06,5.12,5.04,3386042.0
2020-01-10 15:00:00,5.06,5.05,5.08,5.02,5170439.0
2020-01-13 10:30:00,5.05,5.01,5.09,4.97,8264791.0
2020-01-13 11:30:00,5.01,5.03,5.05,4.98,3623735.0
2020-01-13 14:00:00,5.03,5.11,5.11,5.03,4796971.0
2020-01-13 15:00:00,5.1,5.12,5.12,5.05,3765696.0
2020-01-14 10:30:00,5.12,5.1,5.15,5.05,5866099.0
2020-01-14 11:30:00,5.1,5.05,5.11,5.04,2768596.0
2020-01-14 14:00:00,5.05,5.02,5.05,5.0,3847896.0
