,open,close,high,low,volume
2020-01-02 10:30:00,12.28,12.35,12.51,11.96,8606812.0
2020-01-02 11:30:00,12.34,12.43,12.59,12.31,4278913.0
2020-01-02 14:00:00,12.43,12.41,12.55,12.35,2825044.0
2020-01-02 15:00:00,12.41,12.32,12.48,12.3,4143701.0
2020-01-03 10:30:00,12.39,12.61,12.87,12.35,8883924.0
2020-01-03 11:30:00,12.61,12.73,12.78,12.42,3407099.0
2020-01-03 14:00:00,12.72,12.75,12.82,12.54,3470354.0
2020-01-03 15:00:00,12.75,12.75,12.77,12.6,3842296.0
2020-01-06 10:30:00,12.61,13.26,13.53,12.36,10475844.0
2020-01-06 11:30:00,13.27,13.3,13.57,13.24,2784868.0
2020-01-06 14:00:00,13.3,13.33,13.62,13.28,3969214.0
2020-01-06 15:00:00,13.35,13.28,13.36,12.97,4222034.0
2020-01-07 10:30:00,13.63,14.12,14.31,13.63,10796472.0
2020-01-07 11:30:00,14.12,14.41,14.48,14.04,3880761.0
2020-01-07 14:00:00,14.4,14.32,14.48,14.17,2745904.0
2020-01-07 15:00:00,14.32,14.33,14.48,14.15,4472326.0
2020-01-08 10:30:00,14.45,13.88,14.45,13.65,11387228.0
2020-01-08 11:30:00,13.88,14.62,14.92,13.87,6604796.0
2020-01-08 14:00:00,14.62,14.27,14.62,14.18,5198497.0
2020-01-08 15:00:00,14.26,14.63,14.89,14.24,7943388.0
2020-01-09 10:30:00,14.28,14.4,15.0,14.14,8583032.0
2020-01-09 11:30:00,14.4,14.57,14.78,14.28,2761487.0
2020-01-09 14:00:00,14.58,14.19,14.58,14.15,4034490.0
2020-01-09 15:00:00,14.19,14.21,14.32,14.13,4522829.0
2020-01-10 10:30:00,14.43,14.3,14.43,13.94,6562494.0
2020-01-10 11:30:00,14.3,14.2,14.31,14.08,1791400.0
2020-01-10 14:00:00,14.2,14.02,14.21,13.97,2064258.0
2020-01-10 15:00:00,14.02,14.02,14.19,13.99,2868767.0
2020-01-13 10:30:00,14.01,13.88,14.01,13.47,5624286.0
2020-01-13 11:30:00,13.88,13.92,14.07,13.78,2141989.0
2020-01-13 14:00:00,13.92,14.15,14.25,13.92,3025545.0
2020-01-13 15:00:00,14.15,14.24,14.31,14.11,4122341.0
2020-01-14 10:30:00,14.2,14.18,14.38,13.98,3834910.0
2020-01-14 11:30:00,14.18,14.17,14.3,14.14,2175588.0
2020-01-14 14:00:00,14.16,14.35,14.44,14.12,2597732.0
2020-01-14 15:00:00,14.36,14.27,14.45,14.26,3608507.0
2020-01-15 10:30:00,13.91,14.15,14.56,13.91,4488319.0
2020-01-15 11:30:00,14.16,14.13,14.26,14.08,1494046.0
2020-01-15 14:00:00,14.16,14.44,14.48,14.09,2559374.0
2020-01-15 15:00:00,14.45,14.34,14.47,14.31,2798226.0
2020-01-16 10:30:00,14.2,14.36,14.47,14.13,2074581.0
