,open,close,high,low,volume
2020-01-02 10:30:00,4.32,4.34,4.35,4.31,2706800.0
2020-01-02 11:30:00,4.34,4.34,4.36,4.33,1421800.0
2020-01-02 14:00:00,4.34,4.34,4.35,4.32,817700.0
2020-01-02 15:00:00,4.34,4.34,4.35,4.32,1462300.0
2020-01-03 10:30:00,4.34,4.37,4.38,4.33,2432900.0
2020-01-03 11:30:00,4.38,4.35,4.38,4.34,1131900.0
2020-01-03 14:00:00,4.36,4.36,4.37,4.34,990600.0
2020-01-03 15:00:00,4.36,4.37,4.38,4.35,1204800.0
2020-01-06 10:30:00,4.34,4.43,4.5,4.33,3674800.0
2020-01-06 11:30:00,4.43,4.44,4.44,4.42,1211800.0
2020-01-06 14:00:00,4.43,4.41,4.46,4.4,1631700.0
2020-01-06 15:00:00,4.42,4.39,4.42,4.36,1565200.0
2020-01-07 10:30:00,4.41,4.44,4.45,4.39,2056200.0
2020-01-07 11:30:00,4.44,4.48,4.48,4.39,1873200.0
2020-01-07 14:00:00,4.49,4.45,4.5,4.44,1631800.0
2020-01-07 15:00:00,4.46,4.46,4.47,4.45,1713300.0
2020-01-08 10:30:00,4.44,4.42,4.47,4.4,2518600.0
2020-01-08 11:30:00,4.41,4.43,4.44,4.41,737100.0
2020-01-08 14:00:00,4.43,4.37,4.43,4.37,2051400.0
2020-01-08 15:00:00,4.37,4.39,4.39,4.36,1450800.0
2020-01-09 10:30:00,4.42,4.44,4.44,4.4,1787600.0
2020-01-09 11:30:00,4.43,4.42,4.44,4.41,775300.0
2020-01-09 14:00:00,4.42,4.41,4.43,4.41,518900.0
2020-01-09 15:00:00,4.41,4.44,4.45,4.41,2249300.0
2020-01-10 10:30:00,4.45,4.42,4.46,4.42,1431700.0
2020-01-10 11:30:00,4.42,4.41,4.44,4.38,1185900.0
2020-01-10 14:00:00,4.41,4.4,4.42,4.39,828300.0
2020-01-10 15:00:00,4.41,4.4,4.43,4.39,1471700.0
2020-01-13 10:30:00,4.39,4.36,4.39,4.33,1946900.0
2020-01-13 11:30:00,4.37,4.37,4.38,4.35,582900.0
2020-01-13 14:00:00,4.37,4.38,4.4,4.36,807900.0
2020-01-13 15:00:00,4.38,4.4,4.4,4.37,1478100.0
2020-01-14 10:30:00,4.41,4.41,4.43,4.38,1695700.0
2020-01-14 11:30:00,4.42,4.4,4.43,4.4,975600.0
2020-01-14 14:00:00,4.4,4.42,4.42,4.4,452000.0
2020-01-14 15:00:00,4.42,4.43,4.43,4.41,902100.0
2020-01-15 10:30:00,4.43,4.37,4.43,4.35,1603800.0
2020-01-15 11:30:00,4.37,4.36,4.38,4.36,454900.0
2020-01-15 14:00:00,4.36,4.37,4.37,4.35,725300.0
2020-01-15 15:00:00,4.37,4.36,4.37,4.35,1102700.0
2020-01-16 10:30:00,4.36,4.35,4.37,4.33,1094600.0
2020-01-16 11:30:00,4.35,4.33,4.35,4.33,803700.0
2020-01-16 14:00:00,4.34,4.33,4.34,4.32,566500.0
2020-01-16 15:00:00,4.33,4.33,4.35,4.32,1886500.0
2020-01-17 10:30:00,4.34,4.34,4.38,4.33,1252400.0
2020-01-17 11:30:00,4.34,4.32,4.35,4.3,854900.0
2020-01-17 14:00:00,4.31,4.31,4.33,4.3,1175800.0
2020-01-17 15:00:00,4.31,4.32,4.34,4.31,758900.0
2020-01-20 10:30:00,4.32,4.31,4.32,4.28,1305100.0
2020-01-20 11:30:00,4.31,4.32,4.33,4.3,606500.0
2020-01-20 14:00:00,4.32,4.31,4.33,4.31,803600.0
2020-01-20 15:00:00,4.33,4.34,4.34,4.31,850300.0
2020-01-21 10:30:00,4.32,4.3,4.32,4.28,1133500.0
2020-01-21 11:30:00,4.3,4.37,4.38,4.29,1248100.0
2020-01-21 14:00:00,4.37,4.36,4.4,4.34,1901300.0
2020-01-21 15:00:00,4.36,4.39,4.41,4.36,2188200.0
2020-01-22 10:30:00,4.39,4.29,4.39,4.22,2207000.0
2020-01-22 11:30:00,4.29,4.29,4.3,4.28,645700.0
2020-01-22 14:00:00,4.3,4.32,4.33,4.29,746400.0
2020-01-22 15:00:00,4.31,4.34,4.34,4.28,1343100.0
2020-01-23 10:30:00,4.32,4.29,4.32,4.24,1304900.0
2020-01-23 11:30:00,4.28,4.26,4.31,4.24,1053000.0
2020-01-23 14:00:00,3.91,3.95,4.12,3.91,10017100.0
2020-01-23 15:00:00,3.95,3.99,4.0,3.91,4400000.0
2020-02-03 10:30:00,3.59,3.59,3.6,3.59,4005100.0
2020-02-03 11:30:00,3.59,3.59,3.59,3.59,155300.0
2020-02-03 14:00:00,3.59,3.59,3.59,3.59,189700.0
2020-02-03 15:00:00,3.59,3.59,3.59,3.59,36900.0
2020-02-04 10:30:00,3.36,3.41,3.5,3.36,6367100.0
2020-02-04 11:30:00,3.42,3.34,3.42,3.31,3068000.0
2020-02-04 14:00:00,3.34,3.36,3.39,3.34,2137600.0
2020-02-04 15:00:00,3.36,3.38,3.4,3.36,2049400.0
2020-02-05 10:30:00,3.4,3.44,3.45,3.38,2896900.0
2020-02-05 11:30:00,3.44,3.45,3.48,3.43,1791500.0
2020-02-05 14:00:00,3.45,3.41,3.46,3.4,1369200.0
2020-02-05 15:00:00,3.41,3.4,3.42,3.39,1418600.0
2020-02-06 10:30:00,3.4,3.4,3.41,3.36,2488300.0
2020-02-06 11:30:00,3.4,3.43,3.44,3.4,2120200.0
2020-02-06 14:00:00,3.43,3.45,3.47,3.43,1326800.0
2020-02-06 15:00:00,3.44,3.45,3.46,3.43,1342900.0
2020-02-07 10:30:00,3.44,3.42,3.45,3.4,2571300.0
2020-02-07 11:30:00,3.42,3.39,3.43,3.37,1828200.0
2020-02-07 14:00:00,3.39,3.4,3.4,3.37,1178200.0
2020-02-07 15:00:00,3.4,3.43,3.44,3.4,1346100.0
2020-02-10 10:30:00,3.4,3.49,3.51,3.37,3314700.0
2020-02-10 11:30:00,3.49,3.47,3.5,3.47,1315800.0
2020-02-10 14:00:00,3.47,3.48,3.49,3.45,933900.0
2020-02-10 15:00:00,3.48,3.5,3.51,3.47,1642600.0
2020-02-11 10:30:00,3.52,3.54,3.54,3.48,2557600.0
2020-02-11 11:30:00,3.54,3.5,3.55,3.49,1398400.0
