,open,close,high,low,volume
2020-01-02 10:30:00,7.51,7.61,7.66,7.47,3416133.0
2020-01-02 11:30:00,7.61,7.65,7.7,7.61,2165305.0
2020-01-02 14:00:00,7.66,7.64,7.68,7.6,1758068.0
2020-01-02 15:00:00,7.65,7.64,7.66,7.61,1685371.0
2020-01-03 10:30:00,7.7,7.78,7.78,7.65,4179067.0
2020-01-03 11:30:00,7.77,7.63,7.78,7.61,2004907.0
2020-01-03 14:00:00,7.63,7.68,7.71,7.63,1162584.0
2020-01-03 15:00:00,7.67,7.72,7.74,7.66,2347226.0
2020-01-06 10:30:00,7.66,7.8,7.82,7.58,3804921.0
2020-01-06 11:30:00,7.8,7.82,7.82,7.76,1511592.0
2020-01-06 14:00:00,7.82,7.8,7.86,7.77,2413407.0
2020-01-06 15:00:00,7.8,7.79,7.82,7.71,2424621.0
2020-01-07 10:30:00,7.82,7.74,7.85,7.73,2690264.0
2020-01-07 11:30:00,7.74,7.74,7.76,7.7,2401836.0
2020-01-07 14:00:00,7.74,7.75,7.76,7.71,1553368.0
2020-01-07 15:00:00,7.76,7.79,7.79,7.73,2929869.0
2020-01-08 10:30:00,7.75,7.65,7.75,7.61,3406368.0
2020-01-08 11:30:00,7.65,7.77,7.79,7.65,1901831.0
2020-01-08 14:00:00,7.77,7.6,7.78,7.6,2380861.0
2020-01-08 15:00:00,7.6,7.6,7.65,7.56,2322990.0
2020-01-09 10:30:00,7.69,7.78,7.78,7.68,3085210.0
2020-01-09 11:30:00,7.78,7.75,7.78,7.73,1283739.0
2020-01-09 14:00:00,7.75,7.79,7.8,7.74,2147586.0
2020-01-09 15:00:00,7.79,7.81,7.82,7.76,2888641.0
2020-01-10 10:30:00,7.82,7.79,7.94,7.78,3999501.0
2020-01-10 11:30:00,7.8,7.75,7.81,7.72,1407796.0
2020-01-10 14:00:00,7.74,7.75,7.76,7.71,954988.0
2020-01-10 15:00:00,7.74,7.76,7.86,7.72,2543789.0
2020-01-13 10:30:00,7.69,7.89,7.9,7.69,5238759.0
2020-01-13 11:30:00,7.89,7.95,7.96,7.86,3225168.0
2020-01-13 14:00:00,7.95,7.94,7.98,7.9,3628073.0
2020-01-13 15:00:00,7.95,8.01,8.05,7.9,6096456.0
2020-01-14 10:30:00,7.99,7.88,7.99,7.86,5561370.0
2020-01-14 11:30:00,7.88,7.85,7.91,7.83,2867848.0
2020-01-14 14:00:00,7.86,7.86,7.9,7.83,1372709.0
2020-01-14 15:00:00,7.85,7.85,7.89,7.84,2161873.0
2020-01-15 10:30:00,7.81,7.71,7.87,7.7,3655379.0
2020-01-15 11:30:00,7.71,7.76,7.77,7.7,1695500.0
2020-01-15 14:00:00,7.76,7.94,7.97,7.75,3619391.0
2020-01-15 15:00:00,7.95,8.08,8.21,7.92,9691614.0
2020-01-16 10:30:00,8.07,7.99,8.1,7.94,6618883.0
2020-01-16 11:30:00,7.99,7.96,7.99,7.91,2306903.0
2020-01-16 14:00:00,7.96,8.01,8.06,7.96,2134201.0
2020-01-16 15:00:00,8.01,8.0,8.02,7.96,2649943.0
2020-01-17 10:30:00,8.02,8.08,8.16,7.97,5214888.0
2020-01-17 11:30:00,8.08,8.07,8.13,8.07,2736198.0
2020-01-17 14:00:00,8.06,8.05,8.08,8.0,2105816.0
2020-01-17 15:00:00,8.05,8.19,8.2,8.04,7553614.0
2020-01-20 10:30:00,8.44,8.19,8.54,8.16,10162683.0
2020-01-20 11:30:00,8.19,8.24,8.25,8.13,2335109.0
2020-01-20 14:00:00,8.26,8.23,8.26,8.18,2151020.0
2020-01-20 15:00:00,8.23,8.27,8.36,8.23,4877993.0
2020-01-21 10:30:00,8.26,8.1,8.26,8.09,5745276.0
2020-01-21 11:30:00,8.1,8.14,8.19,8.05,2908534.0
2020-01-21 14:00:00,8.13,8.06,8.13,8.03,1334014.0
2020-01-21 15:00:00,8.06,7.99,8.09,7.95,3426802.0
2020-01-22 10:30:00,7.94,8.18,8.28,7.82,6652882.0
2020-01-22 11:30:00,8.2,8.4,8.45,8.19,5552865.0
2020-01-22 14:00:00,8.41,8.41,8.44,8.33,2902747.0
2020-01-22 15:00:00,8.41,8.42,8.43,8.29,5154128.0
2020-01-23 10:30:00,7.92,7.99,8.12,7.89,10272269.0
2020-01-23 11:30:00,8.0,7.94,8.05,7.92,3196058.0
2020-01-23 14:00:00,7.94,7.76,7.97,7.59,3595885.0
2020-01-23 15:00:00,7.76,7.74,7.81,7.63,2911969.0
2020-02-03 10:30:00,6.97,6.97,6.97,6.97,905796.0
2020-02-03 11:30:00,6.97,6.97,6.97,6.97,29479.0
2020-02-03 14:00:00,6.97,6.97,6.97,6.97,33455.0
2020-02-03 15:00:00,6.97,6.97,6.97,6.97,10491.0
2020-02-04 10:30:00,6.27,6.69,6.75,6.27,7374945.0
2020-02-04 11:30:00,6.69,6.57,6.71,6.53,2528780.0
2020-02-04 14:00:00,6.58,6.65,6.7,6.57,1625155.0
2020-02-04 15:00:00,6.65,6.64,6.7,6.61,2457535.0
2020-02-05 10:30:00,6.64,6.81,6.87,6.64,3565683.0
2020-02-05 11:30:00,6.81,6.77,6.88,6.75,2088088.0
2020-02-05 14:00:00,6.78,6.7,6.79,6.7,1342148.0
2020-02-05 15:00:00,6.7,6.66,6.75,6.61,2696775.0
2020-02-06 10:30:00,6.62,6.62,6.7,6.54,2721554.0
2020-02-06 11:30:00,6.63,6.7,6.71,6.61,2006350.0
2020-02-06 14:00:00,6.72,6.77,6.83,6.7,2343969.0
2020-02-06 15:00:00,6.78,6.76,6.82,6.7,2845967.0
2020-02-07 10:30:00,6.72,6.79,6.85,6.67,2990085.0
2020-02-07 11:30:00,6.79,6.76,6.85,6.71,2439266.0
2020-02-07 14:00:00,6.76,6.85,6.89,6.74,2318474.0
2020-02-07 15:00:00,6.85,7.0,7.09,6.83,4113787.0
2020-02-10 10:30:00,6.91,6.96,7.06,6.86,3814330.0
2020-02-10 11:30:00,6.98,6.88,7.02,6.87,1930764.0
2020-02-10 14:00:00,6.89,6.97,7.0,6.88,1266746.0
2020-02-10 15:00:00,6.97,7.01,7.04,6.95,2428598.0
2020-02-11 10:30:00,6.98,6.98,7.08,6.92,3827529.0
2020-02-11 11:30:00,7.0,7.04,7.11,6.98,2140171.0
2020-02-11 14:00:00,7.04,7.07,7.09,7.01,1245223.0
2020-02-11 15:00:00,7.07,7.03,7.09,7.01,2138545.0
2020-02-12 10:30:00,6.97,7.05,7.09,6.97,2611785.0
2020-02-12 11:30:00,7.05,7.06,7.08,7.0,1958793.0
2020-02-12 14:00:00,7.07,7.09,7.18,7.07,2236372.0
2020-02-12 15:00:00,7.09,7.15,7.21,7.08,3745251.0
2020-02-13 10:30:00,7.11,7.16,7.21,7.02,4201855.0
2020-02-13 11:30:00,7.15,7.26,7.37,7.15,4574013.0
2020-02-13 14:00:00,7.26,7.33,7.33,7.12,2332032.0
2020-02-13 15:00:00,7.33,7.26,7.38,7.2,3622106.0
2020-02-14 10:30:00,7.23,7.43,7.49,7.21,5759194.0
2020-02-14 11:30:00,7.43,7.49,7.7,7.43,5934431.0
2020-02-14 14:00:00,7.5,7.98,7.98,7.5,6640218.0
2020-02-14 15:00:00,7.98,7.98,7.98,7.98,686632.0
2020-02-17 10:30:00,8.78,8.78,8.78,8.62,32233643.0
2020-02-17 11:30:00,8.78,8.78,8.78,8.47,16947568.0
2020-02-17 14:00:00,8.78,8.78,8.78,8.78,960416.0
2020-02-17 15:00:00,8.78,8.78,8.78,8.78,857878.0
2020-02-18 10:30:00,8.85,8.76,9.18,8.57,39327933.0
2020-02-18 11:30:00,8.77,9.04,9.16,8.67,10643525.0
2020-02-18 14:00:00,9.06,9.14,9.52,9.04,8048915.0
2020-02-18 15:00:00,9.12,9.06,9.38,9.0,6643293.0
2020-02-19 10:30:00,8.64,8.81,8.89,8.49,20383775.0
2020-02-19 11:30:00,8.81,9.36,9.5,8.73,16183366.0
2020-02-19 14:00:00,9.38,9.21,9.4,9.12,5489034.0
2020-02-19 15:00:00,9.21,9.0,9.21,8.91,8394853.0
2020-02-20 10:30:00,8.83,8.69,9.18,8.59,17558067.0
2020-02-20 11:30:00,8.69,9.11,9.11,8.69,6911833.0
2020-02-20 14:00:00,9.16,9.72,9.9,9.12,26436830.0
2020-02-20 15:00:00,9.71,9.62,9.85,9.57,8432643.0
2020-02-21 10:30:00,9.65,9.62,10.08,9.47,27161072.0
2020-02-21 11:30:00,9.63,9.68,9.85,9.58,6955772.0
2020-02-21 14:00:00,9.69,9.46,9.81,9.43,8238973.0
2020-02-21 15:00:00,9.46,9.41,9.6,9.41,8191597.0
2020-02-24 10:30:00,9.19,9.15,9.32,8.99,18413954.0
2020-02-24 11:30:00,9.15,9.35,9.36,9.12,3584666.0
2020-02-24 14:00:00,9.36,9.4,9.56,9.33,6936606.0
2020-02-24 15:00:00,9.4,9.48,9.52,9.33,7468802.0
2020-02-25 10:30:00,9.11,9.36,9.49,9.01,12564519.0
2020-02-25 11:30:00,9.36,9.21,9.42,8.64,8311307.0
2020-02-25 14:00:00,9.21,9.32,9.34,9.14,4786314.0
2020-02-25 15:00:00,9.32,9.29,9.43,9.2,6620148.0
2020-02-26 10:30:00,8.99,9.01,9.29,8.91,8692504.0
2020-02-26 11:30:00,9.0,9.09,9.1,8.9,3012872.0
2020-02-26 14:00:00,9.09,8.98,9.12,8.95,2704732.0
2020-02-26 15:00:00,8.98,8.72,8.99,8.54,8532466.0
2020-02-27 10:30:00,8.71,8.46,8.84,8.3,8623969.0
2020-02-27 11:30:00,8.46,8.73,8.73,8.43,2409610.0
2020-02-27 14:00:00,8.74,8.76,8.84,8.68,3373098.0
2020-02-27 15:00:00,8.77,8.64,8.77,8.57,3332945.0
2020-02-28 10:30:00,8.18,8.14,8.46,8.13,6704052.0
2020-02-28 11:30:00,8.14,8.11,8.31,8.09,2434387.0
