,open,close,high,low,volume
2020-01-02 10:30:00,22.46,22.8,22.81,22.37,11358444.0
2020-01-02 11:30:00,22.8,22.48,22.83,22.46,4509027.0
2020-01-02 14:00:00,22.47,22.49,22.55,22.41,3831931.0
2020-01-02 15:00:00,22.49,22.25,22.49,22.2,6711849.0
2020-01-03 10:30:00,22.28,22.61,22.69,22.28,7773506.0
2020-01-03 11:30:00,22.61,22.6,22.65,22.43,3108360.0
2020-01-03 14:00:00,22.58,22.61,22.68,22.47,3904156.0
2020-01-03 15:00:00,22.61,22.76,22.76,22.58,6256629.0
2020-01-06 10:30:00,22.7,22.74,22.81,22.57,6056328.0
2020-01-06 11:30:00,22.74,22.91,22.96,22.72,3843500.0
2020-01-06 14:00:00,22.91,22.74,22.97,22.69,3846835.0
2020-01-06 15:00:00,22.71,22.58,22.76,22.39,5311907.0
2020-01-07 10:30:00,22.67,22.99,23.07,22.59,7709304.0
2020-01-07 11:30:00,23.0,23.01,23.01,22.87,2508694.0
2020-01-07 14:00:00,23.03,23.14,23.16,22.97,4391682.0
2020-01-07 15:00:00,23.14,23.17,23.21,23.08,4699430.0
2020-01-08 10:30:00,23.04,22.81,23.17,22.76,5973685.0
2020-01-08 11:30:00,22.83,22.9,23.03,22.81,2366235.0
2020-01-08 14:00:00,22.89,22.5,22.92,22.48,5743782.0
2020-01-08 15:00:00,22.5,22.75,22.75,22.45,5951904.0
2020-01-09 10:30:00,22.86,23.01,23.13,22.86,5786723.0
2020-01-09 11:30:00,23.02,22.92,23.04,22.87,2391037.0
2020-01-09 14:00:00,22.93,23.0,23.07,22.89,2747250.0
2020-01-09 15:00:00,23.0,23.03,23.03,22.84,3664766.0
2020-01-10 10:30:00,23.22,22.71,23.23,22.64,5058353.0
2020-01-10 11:30:00,22.71,22.77,22.84,22.62,2817803.0
2020-01-10 14:00:00,22.76,22.89,22.9,22.71,1768969.0
2020-01-10 15:00:00,22.89,22.74,22.94,22.7,3312414.0
2020-01-13 10:30:00,22.84,22.87,22.99,22.68,3457903.0
2020-01-13 11:30:00,22.86,22.89,22.92,22.77,2015654.0
2020-01-13 14:00:00,22.88,23.02,23.09,22.88,3333676.0
2020-01-13 15:00:00,23.02,23.03,23.12,22.95,4333844.0
2020-01-14 10:30:00,23.04,22.93,23.12,22.84,3638817.0
2020-01-14 11:30:00,22.94,22.92,23.12,22.89,1839940.0
2020-01-14 14:00:00,22.92,22.93,22.99,22.84,1570023.0
2020-01-14 15:00:00,22.93,22.8,22.93,22.8,2246174.0
2020-01-15 10:30:00,22.71,22.72,22.98,22.67,3895608.0
2020-01-15 11:30:00,22.72,22.79,22.88,22.67,1608473.0
2020-01-15 14:00:00,22.8,22.86,22.87,22.74,1423908.0
2020-01-15 15:00:00,22.83,22.85,22.91,22.81,2166034.0
2020-01-16 10:30:00,22.89,23.06,23.12,22.8,5683128.0
2020-01-16 11:30:00,23.06,23.08,23.08,22.92,2567474.0
2020-01-16 14:00:00,23.08,23.18,23.27,23.08,5927098.0
2020-01-16 15:00:00,23.18,23.09,23.21,23.08,3465405.0
2020-01-17 10:30:00,23.12,22.92,23.17,22.89,4197833.0
2020-01-17 11:30:00,22.92,22.67,23.03,22.66,4283711.0
2020-01-17 14:00:00,22.67,22.62,22.74,22.54,3258010.0
2020-01-17 15:00:00,22.61,22.95,23.02,22.6,4085907.0
2020-01-20 10:30:00,22.95,23.03,23.09,22.85,3367028.0
2020-01-20 11:30:00,23.03,23.27,23.27,22.89,3355144.0
2020-01-20 14:00:00,23.27,23.63,23.64,23.26,7152895.0
2020-01-20 15:00:00,23.64,23.59,23.73,23.57,4313827.0
2020-01-21 10:30:00,23.6,23.12,23.6,23.07,7133401.0
2020-01-21 11:30:00,23.12,22.75,23.12,22.69,6794390.0
2020-01-21 14:00:00,22.75,22.73,22.76,22.57,4483077.0
2020-01-21 15:00:00,22.74,22.64,22.77,22.6,2670024.0
2020-01-22 10:30:00,22.65,22.46,22.73,22.26,6137826.0
2020-01-22 11:30:00,22.46,22.87,22.87,22.37,2631983.0
2020-01-22 14:00:00,22.87,22.91,22.97,22.79,2698476.0
2020-01-22 15:00:00,22.9,22.79,22.99,22.75,3264264.0
2020-01-23 10:30:00,22.6,22.73,22.96,22.42,5285755.0
2020-01-23 11:30:00,22.74,22.46,22.75,22.41,3879246.0
2020-01-23 14:00:00,22.45,21.95,22.45,21.76,5061896.0
2020-01-23 15:00:00,21.94,21.97,22.05,21.81,3331697.0
2020-02-03 10:30:00,19.78,19.79,19.89,19.78,18049552.0
2020-02-03 11:30:00,19.79,19.78,19.79,19.78,1070928.0
2020-02-03 14:00:00,19.78,19.78,19.78,19.78,755050.0
2020-02-03 15:00:00,19.78,19.78,19.78,19.78,1909244.0
2020-02-04 10:30:00,19.79,20.27,20.34,19.79,9434611.0
2020-02-04 11:30:00,20.24,19.94,20.28,19.87,5274915.0
2020-02-04 14:00:00,20.03,20.75,20.85,20.03,9138632.0
2020-02-04 15:00:00,20.75,20.75,21.04,20.73,5975458.0
2020-02-05 10:30:00,20.87,21.06,21.16,20.63,5296588.0
2020-02-05 11:30:00,21.07,21.13,21.35,20.99,4092888.0
2020-02-05 14:00:00,21.15,20.91,21.23,20.87,3689050.0
2020-02-05 15:00:00,20.91,20.87,20.97,20.79,2744121.0
2020-02-06 10:30:00,20.92,20.97,20.99,20.73,3944068.0
2020-02-06 11:30:00,20.97,21.16,21.19,20.93,4097792.0
2020-02-06 14:00:00,21.16,21.4,21.41,21.16,5738988.0
2020-02-06 15:00:00,21.4,21.43,21.49,21.22,4490579.0
2020-02-07 10:30:00,21.31,21.28,21.53,21.22,6120944.0
2020-02-07 11:30:00,21.28,21.09,21.32,20.98,4980606.0
2020-02-07 14:00:00,21.1,21.31,21.35,21.03,2265561.0
2020-02-07 15:00:00,21.33,21.65,21.65,21.31,4843559.0
2020-02-10 10:30:00,21.57,21.7,21.76,21.23,5167882.0
2020-02-10 11:30:00,21.71,21.39,21.77,21.35,3610893.0
2020-02-10 14:00:00,21.38,21.38,21.44,21.3,2408229.0
2020-02-10 15:00:00,21.38,21.5,21.52,21.33,3932608.0
2020-02-11 10:30:00,21.54,21.25,21.65,21.18,5555464.0
2020-02-11 11:30:00,21.24,21.13,21.29,21.11,3229565.0
2020-02-11 14:00:00,21.14,21.21,21.26,21.11,2380824.0
2020-02-11 15:00:00,21.21,21.22,21.32,21.12,3704791.0
2020-02-12 10:30:00,21.2,21.33,21.39,21.18,3125030.0
2020-02-12 11:30:00,21.33,21.51,21.54,21.23,3556489.0
2020-02-12 14:00:00,21.52,21.57,21.7,21.52,6510401.0
2020-02-12 15:00:00,21.57,21.65,21.75,21.54,6392322.0
2020-02-13 10:30:00,21.62,22.24,22.32,21.62,11454012.0
2020-02-13 11:30:00,22.22,22.3,22.65,22.21,11141564.0
2020-02-13 14:00:00,22.3,21.97,22.36,21.96,6175031.0
2020-02-13 15:00:00,21.96,22.04,22.18,21.93,4105399.0
2020-02-14 10:30:00,21.94,22.18,22.18,21.83,6156064.0
2020-02-14 11:30:00,22.17,22.14,22.5,22.09,5717731.0
2020-02-14 14:00:00,22.16,21.99,22.21,21.93,3508026.0
2020-02-14 15:00:00,21.99,22.07,22.09,21.86,3380987.0
2020-02-17 10:30:00,22.16,22.28,22.6,22.16,8824940.0
2020-02-17 11:30:00,22.27,22.37,22.38,22.27,4093938.0
2020-02-17 14:00:00,22.37,22.61,22.69,22.34,8244872.0
2020-02-17 15:00:00,22.61,22.62,22.64,22.44,6159296.0
2020-02-18 10:30:00,22.63,22.63,22.86,22.51,8105017.0
2020-02-18 11:30:00,22.62,22.34,22.63,22.24,6553435.0
2020-02-18 14:00:00,22.34,22.43,22.51,22.31,5317853.0
2020-02-18 15:00:00,22.42,22.69,22.69,22.37,5780365.0
2020-02-19 10:30:00,22.61,22.4,22.69,22.35,7098700.0
2020-02-19 11:30:00,22.39,22.51,22.53,22.29,4023068.0
2020-02-19 14:00:00,22.51,22.51,22.63,22.44,3690093.0
2020-02-19 15:00:00,22.51,22.36,22.51,22.36,4221805.0
2020-02-20 10:30:00,22.41,22.1,22.54,22.04,8277595.0
2020-02-20 11:30:00,22.1,22.35,22.36,22.03,4621788.0
2020-02-20 14:00:00,22.34,22.49,22.49,22.31,5078048.0
2020-02-20 15:00:00,22.49,22.56,22.61,22.34,8202353.0
2020-02-21 10:30:00,22.56,22.89,23.14,22.54,12326823.0
2020-02-21 11:30:00,22.89,23.31,23.34,22.83,8337731.0
2020-02-21 14:00:00,23.32,23.36,23.71,23.22,11736434.0
2020-02-21 15:00:00,23.36,23.22,23.4,23.13,6547914.0
2020-02-24 10:30:00,23.32,22.93,23.32,22.93,12130368.0
2020-02-24 11:30:00,22.92,23.22,23.22,22.89,5735235.0
2020-02-24 14:00:00,23.24,23.51,23.67,23.24,11171686.0
2020-02-24 15:00:00,23.52,23.6,23.76,23.48,8615782.0
2020-02-25 10:30:00,23.04,23.04,23.26,22.92,15864551.0
2020-02-25 11:30:00,23.04,22.53,23.07,22.21,12037934.0
2020-02-25 14:00:00,22.55,22.87,22.91,22.54,6811586.0
2020-02-25 15:00:00,22.87,22.98,23.02,22.75,9805411.0
2020-02-26 10:30:00,22.5,22.68,23.08,22.45,10508450.0
2020-02-26 11:30:00,22.68,22.73,22.77,22.43,5497834.0
2020-02-26 14:00:00,22.7,22.81,22.97,22.7,4879416.0
2020-02-26 15:00:00,22.82,22.58,22.85,22.52,5150269.0
2020-02-27 10:30:00,22.65,22.76,22.88,22.49,7217821.0
2020-02-27 11:30:00,22.77,23.77,23.77,22.72,13467258.0
2020-02-27 14:00:00,23.92,24.23,24.83,23.92,40778521.0
2020-02-27 15:00:00,24.23,24.18,24.56,24.11,10574946.0
2020-02-28 10:30:00,23.51,22.62,23.68,22.56,27012783.0
2020-02-28 11:30:00,22.62,22.55,22.94,22.51,8661844.0
2020-02-28 14:00:00,22.5,22.84,22.87,22.38,5568911.0
2020-02-28 15:00:00,22.84,22.65,22.98,22.28,8204958.0
2020-03-02 10:30:00,22.89,22.7,22.94,22.36,9637725.0
2020-03-02 11:30:00,22.68,23.13,23.14,22.67,6866713.0
2020-03-02 14:00:00,23.19,23.4,23.41,23.17,8359302.0
2020-03-02 15:00:00,23.38,23.43,23.65,23.36,8209442.0
2020-03-03 10:30:00,23.71,24.42,24.56,23.61,16809064.0
2020-03-03 11:30:00,24.41,23.86,24.46,23.86,7160392.0
2020-03-03 14:00:00,23.87,23.52,23.97,23.43,7575074.0
2020-03-03 15:00:00,23.52,23.48,23.54,23.32,5735970.0
2020-03-04 10:30:00,23.42,23.48,23.77,23.07,9103721.0
2020-03-04 11:30:00,23.48,23.12,23.62,23.12,5685628.0
2020-03-04 14:00:00,23.14,23.02,23.14,22.8,7885743.0
2020-03-04 15:00:00,23.02,23.32,23.36,22.98,5434885.0
2020-03-05 10:30:00,23.8,23.48,23.99,23.28,9489323.0
2020-03-05 11:30:00,23.47,23.19,23.47,23.0,5117966.0
2020-03-05 14:00:00,23.17,23.28,23.4,23.12,4870553.0
2020-03-05 15:00:00,23.28,23.35,23.41,23.21,4378965.0
2020-03-06 10:30:00,23.03,22.88,23.11,22.8,7309637.0
2020-03-06 11:30:00,22.88,22.79,22.96,22.71,4226080.0
2020-03-06 14:00:00,22.8,22.85,22.89,22.73,4301636.0
2020-03-06 15:00:00,22.85,22.7,22.89,22.7,5508253.0
2020-03-09 10:30:00,22.07,21.86,22.2,21.72,11390957.0
2020-03-09 11:30:00,21.86,21.6,21.87,21.48,6078214.0
2020-03-09 14:00:00,21.55,21.54,21.59,21.35,5150791.0
2020-03-09 15:00:00,21.54,21.39,21.62,21.36,4101542.0
2020-03-10 10:30:00,21.16,21.38,21.71,21.16,6684231.0
2020-03-10 11:30:00,21.37,21.59,21.59,21.17,3253946.0
2020-03-10 14:00:00,21.6,21.7,21.93,21.6,5844247.0
2020-03-10 15:00:00,21.7,21.93,21.94,21.7,4519863.0
2020-03-11 10:30:00,21.94,22.05,22.21,21.73,8417560.0
2020-03-11 11:30:00,22.04,21.7,22.05,21.69,4629918.0
2020-03-11 14:00:00,21.7,21.46,21.77,21.41,5340358.0
2020-03-11 15:00:00,21.46,21.42,21.61,21.4,3649244.0
2020-03-12 10:30:00,21.11,21.05,21.31,20.95,6364284.0
2020-03-12 11:30:00,21.04,21.08,21.2,21.01,2382074.0
2020-03-12 14:00:00,21.12,20.96,21.17,20.87,2976001.0
2020-03-12 15:00:00,20.95,20.97,21.01,20.74,5397472.0
2020-03-13 10:30:00,19.97,20.41,20.41,19.86,8031232.0
2020-03-13 11:30:00,20.4,20.22,20.52,20.2,2370503.0
2020-03-13 14:00:00,20.27,20.69,20.97,20.27,4069857.0
2020-03-13 15:00:00,20.69,20.72,20.82,20.54,2472949.0
