,open,close,high,low,volume
2020-01-02 10:30:00,5.47,5.56,5.58,5.46,12536700.0
2020-01-02 11:30:00,5.55,5.68,5.7,5.54,20046800.0
2020-01-02 14:00:00,5.68,5.63,5.69,5.54,23890900.0
2020-01-02 15:00:00,5.63,5.7,5.7,5.6,15873400.0
2020-01-03 10:30:00,5.67,5.78,5.83,5.65,18629900.0
2020-01-03 11:30:00,5.78,5.94,6.02,5.74,34443100.0
2020-01-03 14:00:00,5.95,5.9,5.95,5.89,7041800.0
2020-01-03 15:00:00,5.91,5.97,5.97,5.88,17729400.0
2020-01-06 10:30:00,5.9,5.98,6.04,5.87,23581200.0
2020-01-06 11:30:00,5.97,5.96,5.98,5.91,9432500.0
2020-01-06 14:00:00,5.96,6.03,6.11,5.96,16756200.0
2020-01-06 15:00:00,6.04,5.98,6.04,5.96,12070700.0
2020-01-07 10:30:00,6.07,6.17,6.22,6.0,34254500.0
2020-01-07 11:30:00,6.16,6.37,6.4,6.15,40386100.0
2020-01-07 14:00:00,6.37,6.36,6.45,6.28,14981700.0
2020-01-07 15:00:00,6.36,6.49,6.57,6.33,35615200.0
2020-01-08 10:30:00,6.43,6.42,6.52,6.35,36198300.0
2020-01-08 11:30:00,6.43,6.4,6.48,6.39,8831500.0
2020-01-08 14:00:00,6.4,6.4,6.5,6.36,11157300.0
2020-01-08 15:00:00,6.4,6.3,6.42,6.24,18527300.0
2020-01-09 10:30:00,6.43,6.38,6.5,6.3,24064800.0
2020-01-09 11:30:00,6.38,6.25,6.38,6.21,12766800.0
2020-01-09 14:00:00,6.25,6.27,6.33,6.22,6304000.0
2020-01-09 15:00:00,6.28,6.4,6.54,6.25,34868400.0
2020-01-10 10:30:00,6.37,6.32,6.53,6.26,24972700.0
2020-01-10 11:30:00,6.31,6.34,6.35,6.28,4938300.0
2020-01-10 14:00:00,6.32,6.3,6.32,6.27,3779000.0
2020-01-10 15:00:00,6.29,6.27,6.35,6.27,7914500.0
2020-01-13 10:30:00,6.29,6.21,6.3,6.18,11637200.0
2020-01-13 11:30:00,6.21,6.2,6.27,6.19,6033400.0
2020-01-13 14:00:00,6.2,6.23,6.41,6.19,48093200.0
2020-01-13 15:00:00,6.23,6.2,6.23,6.1,33773500.0
2020-01-14 10:30:00,6.25,5.97,6.25,5.93,47838300.0
2020-01-14 11:30:00,5.95,5.96,5.97,5.94,11831600.0
2020-01-14 14:00:00,5.95,5.93,5.96,5.91,10905800.0
2020-01-14 15:00:00,5.92,5.9,5.93,5.88,16771100.0
2020-01-15 10:30:00,5.9,5.63,5.9,5.62,41940500.0
2020-01-15 11:30:00,5.65,5.66,5.7,5.63,10137200.0
2020-01-15 14:00:00,5.66,5.68,5.75,5.65,10206200.0
2020-01-15 15:00:00,5.68,5.8,5.83,5.67,17521500.0
2020-01-16 10:30:00,5.81,5.75,5.81,5.7,18402900.0
2020-01-16 11:30:00,5.74,5.71,5.74,5.69,5743900.0
2020-01-16 14:00:00,5.72,5.73,5.73,5.7,6548900.0
2020-01-16 15:00:00,5.72,5.8,5.8,5.68,15414300.0
2020-01-17 10:30:00,5.76,5.82,5.83,5.74,13503400.0
2020-01-17 11:30:00,5.81,5.75,5.81,5.74,5905900.0
