,open,close,high,low,volume
2020-01-02 10:30:00,9.05,9.05,9.15,9.0,56526694.0
2020-01-02 11:30:00,9.05,9.11,9.18,9.04,18141084.0
2020-01-02 14:00:00,9.11,9.17,9.19,9.1,13872491.0
2020-01-02 15:00:00,9.17,9.12,9.17,9.1,22018553.0
2020-01-03 10:30:00,9.19,9.25,9.26,9.08,36804949.0
2020-01-03 11:30:00,9.25,9.13,9.26,9.12,11905189.0
2020-01-03 14:00:00,9.13,9.13,9.17,9.12,7972616.0
2020-01-03 15:00:00,9.13,9.11,9.17,9.08,18451583.0
2020-01-06 10:30:00,9.0,9.14,9.21,8.93,24515860.0
2020-01-06 11:30:00,9.15,9.32,9.36,9.13,32781586.0
2020-01-06 14:00:00,9.32,9.29,9.34,9.24,17275266.0
2020-01-06 15:00:00,9.29,9.34,9.35,9.13,31436597.0
2020-01-07 10:30:00,9.37,9.48,9.69,9.37,58414995.0
2020-01-07 11:30:00,9.48,9.43,9.5,9.39,16542332.0
2020-01-07 14:00:00,9.49,9.45,9.5,9.4,11747193.0
2020-01-07 15:00:00,9.45,9.45,9.52,9.4,26524745.0
2020-01-08 10:30:00,9.44,9.2,9.44,9.16,36996090.0
2020-01-08 11:30:00,9.19,9.38,9.49,9.19,19122902.0
2020-01-08 14:00:00,9.38,9.23,9.38,9.22,11758983.0
2020-01-08 15:00:00,9.23,9.15,9.28,9.13,21531657.0
2020-01-09 10:30:00,9.27,9.22,9.29,9.19,19167845.0
2020-01-09 11:30:00,9.22,9.11,9.23,9.09,14948255.0
2020-01-09 14:00:00,9.14,9.16,9.2,9.11,7973528.0
2020-01-09 15:00:00,9.17,9.14,9.22,9.13,20658011.0
2020-01-10 10:30:00,9.14,9.13,9.26,9.12,17102736.0
2020-01-10 11:30:00,9.13,9.06,9.13,9.04,12854480.0
2020-01-10 14:00:00,9.06,9.01,9.07,8.98,10989248.0
2020-01-10 15:00:00,9.01,9.03,9.09,9.01,11537855.0
2020-01-13 10:30:00,9.11,9.13,9.22,9.06,19236670.0
2020-01-13 11:30:00,9.14,9.14,9.17,9.1,6129041.0
2020-01-13 14:00:00,9.15,9.14,9.18,9.11,9910332.0
2020-01-13 15:00:00,9.14,9.2,9.2,9.12,13098789.0
2020-01-14 10:30:00,9.2,9.36,9.36,9.13,34858181.0
2020-01-14 11:30:00,9.36,9.31,9.41,9.3,20505914.0
2020-01-14 14:00:00,9.31,9.3,9.34,9.28,8493465.0
2020-01-14 15:00:00,9.3,9.28,9.31,9.26,14454756.0
2020-01-15 10:30:00,9.24,9.05,9.24,9.01,27580477.0
2020-01-15 11:30:00,9.04,9.03,9.09,9.03,7314609.0
2020-01-15 14:00:00,9.04,8.98,9.04,8.94,15634830.0
2020-01-15 15:00:00,8.98,8.99,9.03,8.96,14855229.0
2020-01-16 10:30:00,9.0,9.09,9.21,9.0,20755917.0
2020-01-16 11:30:00,9.09,9.2,9.2,9.0,17046203.0
2020-01-16 14:00:00,9.2,9.19,9.27,9.17,21237421.0
2020-01-16 15:00:00,9.18,9.13,9.2,9.11,11856694.0
2020-01-17 10:30:00,9.06,9.05,9.21,9.03,19989540.0
2020-01-17 11:30:00,9.05,9.07,9.15,9.03,10558983.0
2020-01-17 14:00:00,9.08,9.06,9.13,9.04,5340999.0
2020-01-17 15:00:00,9.07,9.02,9.07,9.0,13222314.0
2020-01-20 10:30:00,9.02,8.66,9.04,8.59,37397788.0
